id,nombre,familia,orden,carbohidratos,proteinas,grasas,calorias,azucar
86,Than,Rutaceae,Rosales,29.6,0.2,0.9,93.0,3.6
87,Eight,Solanaceae,Sapindales,12.9,2.12494623655914,1.7,84.0,7.4
88,Area,Musaceae,Fabales,5.4,0.5,1.7,54.0,2.4
89,Media,Fabaceae,Rosales,24.2,2.1,1.0,68.0,1.1
90,Item,Solanaceae,Solanales,14.5,4.2,1.1,56.0,11.2
91,Worry,Rosaceae,Sapindales,26.3,2.2,0.6,61.0,10.4
92,Science,Musaceae,Zingiberales,10.8,1.4,1.0,66.0,7.8
93,Win,Rutaceae,Fabales,25.8,0.3,1.3,30.0,7.1
94,Language,Musaceae,Solanales,26.4,3.6,1.5,63.0,7.7603977272727285
95,Indeed,Fabaceae,Fabales,5.3,2.7,1.2,118.0,7.7603977272727285
96,Plan,Rosaceae,Fabales,24.1,2.7,0.7,51.0,8.9
97,Wide,Solanaceae,Solanales,27.5,1.2,1.8,118.0,1.9
98,Hit,Fabaceae,Zingiberales,19.2,4.0,0.6,118.0,5.8
99,Author,Solanaceae,Sapindales,13.2,3.9,1.6,79.0,4.7
100,On,Fabaceae,Solanales,21.6,1.0,1.7,64.0,7.7603977272727285
101,Speech,Rutaceae,Solanales,7.9,3.3,0.1,101.0,8.7
102,Most,Rutaceae,Sapindales,5.2,3.1,1.1,34.0,3.0
103,Light,Fabaceae,Rosales,15.697258064516129,1.3,0.8,100.0,12.7
104,Job,Solanaceae,Zingiberales,22.3,0.9,0.7,67.0,6.5
105,Late,Rutaceae,Zingiberales,5.0,0.9,0.3,76.0,7.1
106,Score,Musaceae,Solanales,8.7,3.7,1.5,46.0,4.6
107,Little,Rosaceae,Zingiberales,24.7,2.3,0.6,98.0,10.2
108,Explain,Rosaceae,Zingiberales,22.6,0.6,1.9,37.0,13.2
109,Control,Rosaceae,Sapindales,19.2,2.12494623655914,1.8,109.0,7.7603977272727285
110,Doctor,Fabaceae,Solanales,13.4,3.1,0.2,96.0,5.9
111,Carry,Rutaceae,Fabales,18.4,1.2,0.7,100.0,13.1
112,Whom,Rutaceae,Zingiberales,16.5,2.3,0.3,75.0,13.9
113,Live,Rutaceae,Rosales,23.4,3.9,1.2,71.05208333333333,7.7603977272727285
114,Soon,Musaceae,Sapindales,15.697258064516129,2.0,0.1,53.0,7.7603977272727285
115,Leader,Fabaceae,Rosales,27.7,4.5,1.8,116.0,7.7
116,Raise,Fabaceae,Fabales,9.9,2.1,0.7,98.0,7.7
117,Special,Musaceae,Solanales,15.0,0.7,0.3,67.0,13.8
118,Military,Musaceae,Zingiberales,15.697258064516129,2.5,1.8,70.0,3.9
119,Anything,Rutaceae,Fabales,9.7,1.0,1.4,118.0,10.7
120,Music,Rosaceae,Fabales,19.4,1.4,1.5,97.0,4.8
121,Toward,Rosaceae,Zingiberales,18.9,3.0,2.0,87.0,8.3
122,Figure,Fabaceae,Sapindales,5.4,2.7,0.6,108.0,11.4
123,Time,Rutaceae,Rosales,17.6,0.7,1.2491847826086955,57.0,7.4
124,Continue,Rutaceae,Zingiberales,15.5,1.0,0.8,79.0,2.5
125,Artist,Rutaceae,Fabales,15.697258064516129,3.0,0.1,43.0,10.0
126,Professor,Fabaceae,Fabales,15.697258064516129,2.4,1.7,88.0,5.5
127,Word,Rutaceae,Zingiberales,9.9,4.9,1.2491847826086955,93.0,14.0
128,Act,Rosaceae,Sapindales,11.8,4.6,1.1,110.0,7.7603977272727285
129,Gun,Solanaceae,Sapindales,14.0,2.6,1.1,112.0,2.4
130,Any,Solanaceae,Solanales,29.0,0.2,1.2491847826086955,66.0,11.3
131,How,Fabaceae,Fabales,19.8,4.5,1.9,63.0,7.7603977272727285
132,After,Musaceae,Rosales,5.3,2.1,1.8,89.0,3.3
133,Budget,Rutaceae,Solanales,7.7,1.3,1.2491847826086955,39.0,4.0
134,And,Solanaceae,Sapindales,29.6,4.9,0.6,51.0,13.8
135,Imagine,Solanaceae,Sapindales,29.3,4.2,0.9,71.05208333333333,5.2
136,So,Rosaceae,Sapindales,26.9,3.6,0.2,37.0,8.4
137,Down,Rosaceae,Sapindales,15.697258064516129,1.3,0.1,36.0,4.2
138,Sister,Rosaceae,Zingiberales,12.2,2.12494623655914,2.0,71.05208333333333,14.8
139,Ago,Solanaceae,Fabales,14.4,2.7,0.4,47.0,4.6
140,Director,Rutaceae,Zingiberales,9.0,3.8,0.8,104.0,12.8
141,Key,Rutaceae,Zingiberales,15.7,2.0,1.4,60.0,4.4
142,Ready,Rutaceae,Sapindales,7.0,2.3,1.7,120.0,7.7603977272727285
143,Shoulder,Fabaceae,Solanales,8.5,2.0,0.1,62.0,7.9
144,Everybody,Solanaceae,Rosales,14.5,2.8,0.9,64.0,8.3
145,Bar,Solanaceae,Solanales,7.9,2.9,0.9,80.0,9.7
146,Such,Fabaceae,Fabales,19.1,2.3,0.2,61.0,12.4
147,Long,Solanaceae,Sapindales,16.6,2.12494623655914,1.3,38.0,3.4
148,Test,Solanaceae,Rosales,27.5,2.12494623655914,1.0,88.0,10.2
149,I,Musaceae,Rosales,18.9,3.8,1.6,32.0,2.2
150,Official,Rosaceae,Zingiberales,24.3,2.12494623655914,1.4,59.0,13.4
151,How,Solanaceae,Fabales,20.8,2.5,0.8,81.0,1.3
152,Management,Fabaceae,Solanales,15.697258064516129,2.1,1.9,105.0,5.5
153,,Fabaceae,Sapindales,10.3,2.8,0.8,37.0,10.5
154,Painting,Musaceae,Sapindales,25.6,1.5,1.1,39.0,12.5
155,,Musaceae,Zingiberales,20.3,3.6,0.7,92.0,7.7603977272727285
156,Billion,Solanaceae,Fabales,24.7,4.5,1.3,39.0,5.0
157,Remain,Fabaceae,Zingiberales,17.5,4.8,1.7,40.0,2.9
158,Thousand,Musaceae,Sapindales,29.3,4.8,1.2,91.0,2.7
159,,Musaceae,Rosales,6.3,3.2,1.6,108.0,12.8
160,Call,Fabaceae,Solanales,27.4,0.5,1.2491847826086955,46.0,13.0
161,Same,Solanaceae,Sapindales,19.3,0.2,1.9,48.0,6.2
162,Family,Rutaceae,Rosales,23.2,1.0,0.5,111.0,11.6
163,Spend,Solanaceae,Solanales,8.9,3.1,1.9,92.0,2.3
164,Sense,Rosaceae,Solanales,23.8,2.12494623655914,1.0,37.0,7.7603977272727285
165,Night,Musaceae,Rosales,7.4,1.7,1.4,54.0,14.3
166,And,Musaceae,Rosales,27.6,1.4,0.6,112.0,12.4
167,Consumer,Fabaceae,Rosales,17.1,3.1,1.6,96.0,5.0
168,Technology,Fabaceae,Zingiberales,8.8,4.2,1.1,61.0,13.3
169,Front,Musaceae,Zingiberales,18.9,3.7,1.2,81.0,7.7603977272727285
170,Next,Solanaceae,Solanales,10.1,4.7,1.3,63.0,14.9
171,Daughter,Solanaceae,Fabales,24.8,4.4,1.2,103.0,3.5
172,Control,Fabaceae,Zingiberales,19.1,0.9,1.2491847826086955,51.0,4.4
173,I,Fabaceae,Fabales,16.1,3.8,0.4,61.0,6.6
174,Along,Rutaceae,Zingiberales,26.0,0.3,0.3,30.0,8.6
175,Thank,Fabaceae,Solanales,7.1,0.9,0.2,109.0,4.9
176,Its,Rosaceae,Solanales,20.7,1.9,1.0,78.0,7.7603977272727285
177,Difference,Rutaceae,Rosales,28.4,2.3,0.1,60.0,13.5
178,Democrat,Fabaceae,Solanales,11.2,0.2,0.7,71.05208333333333,14.3
179,,Fabaceae,Zingiberales,6.4,1.4,1.2,93.0,1.4
180,Point,Fabaceae,Fabales,22.9,1.8,1.5,44.0,7.7603977272727285
181,Check,Rosaceae,Zingiberales,18.6,4.2,0.5,33.0,1.7
182,Alone,Musaceae,Solanales,15.697258064516129,2.5,1.3,75.0,5.2
183,Current,Solanaceae,Solanales,23.6,0.6,0.2,98.0,10.3
184,Account,Rutaceae,Solanales,14.7,1.1,0.6,54.0,2.0
185,Develop,Musaceae,Rosales,24.2,3.4,0.8,66.0,7.7603977272727285
186,Site,Rosaceae,Fabales,25.9,4.0,0.1,60.0,5.1
187,Need,Solanaceae,Solanales,20.1,0.5,0.3,71.05208333333333,7.7603977272727285
188,Finally,Fabaceae,Solanales,15.697258064516129,2.3,1.2491847826086955,87.0,2.9
189,Future,Fabaceae,Zingiberales,17.0,1.6,0.5,34.0,14.1
190,Enough,Musaceae,Solanales,11.3,2.7,1.2491847826086955,102.0,8.0
191,Total,Rosaceae,Fabales,20.0,2.9,0.5,65.0,6.6
192,Have,Fabaceae,Sapindales,19.6,3.0,0.5,58.0,5.9
193,Their,Fabaceae,Sapindales,6.4,1.3,1.2491847826086955,46.0,14.7
194,,Fabaceae,Solanales,16.3,2.1,1.1,81.0,1.1
195,Form,Solanaceae,Rosales,6.3,2.1,1.2,104.0,2.5
196,According,Musaceae,Solanales,29.9,3.8,1.3,62.0,12.9
197,Too,Fabaceae,Fabales,13.5,1.4,1.3,62.0,9.2
198,Writer,Rutaceae,Fabales,25.8,0.7,0.5,65.0,3.1
199,Study,Musaceae,Sapindales,15.9,0.3,1.9,100.0,7.0
